Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
1932,1994,3,2017-01-08,2017-01-14
1933,1956,4,2017-01-08,2017-02-13
1934,1988,3,2017-01-08,2017-01-14
1940,1994,3,2017-01-08,2017-01-14
1941,1943,3,2017-01-08,2017-01-14
1941,1980,3,2017-01-08,2017-01-14
1941,2000,3,2017-01-08,2017-01-14
1942,1961,5,2017-01-08,2017-02-19
1952,1995,3,2017-01-08,2017-01-14
1955,1996,3,2017-01-08,2017-01-14
1961,1972,3,2017-01-08,2017-01-14
1969,1993,4,2017-01-08,2017-02-06
1971,1987,3,2017-01-08,2017-01-14
1975,1976,4,2017-01-08,2017-02-06
2105,2183,5,2017-01-09,2017-01-29
2113,2192,3,2017-01-09,2017-01-25
2114,2134,4,2017-01-09,2017-01-17
2114,2163,4,2017-01-09,2017-01-17
2130,2181,6,2017-01-09,2017-02-19
2133,2170,3,2017-01-09,2017-01-25
2175,3436,3,2017-01-23,2017-01-31
2181,3135,3,2017-01-15,2017-02-06
2212,2977,3,2017-02-13,2017-02-21
2219,2245,3,2017-01-09,2017-01-22
2224,2246,3,2017-01-09,2017-01-22
2228,2251,3,2017-01-09,2017-01-22
2229,2232,3,2017-01-09,2017-01-22
2229,4449,3,2017-02-10,2017-02-26
2230,2237,3,2017-01-09,2017-01-22
2236,2293,6,2017-01-09,2017-02-21
2249,2263,3,2017-01-09,2017-01-28
2263,2264,3,2017-01-09,2017-01-28
2263,2965,3,2017-02-13,2017-02-21
2273,3681,4,2017-02-13,2017-02-26
2277,2298,4,2017-01-09,2017-02-10
2293,2458,3,2017-02-13,2017-02-21
2298,4405,3,2017-02-10,2017-02-17
2298,4425,3,2017-02-10,2017-02-17
2334,3679,5,2017-01-29,2017-02-26
2405,3679,5,2017-01-29,2017-02-26
2410,2464,4,2017-01-09,2017-02-13
2413,2460,4,2017-01-09,2017-02-13
2417,2429,3,2017-01-09,2017-01-29
2422,2448,3,2017-01-09,2017-02-23
2426,2463,3,2017-01-09,2017-02-06
2437,3681,4,2017-01-29,2017-02-21
2441,2484,3,2017-01-09,2017-01-29
2441,2965,4,2017-02-13,2017-02-26
2451,2452,3,2017-01-09,2017-01-29
2504,2600,3,2017-01-10,2017-02-17
2510,2534,3,2017-01-10,2017-01-24
2511,2789,6,2017-02-02,2017-03-01
2516,2558,3,2017-01-10,2017-02-26
2524,4667,3,2017-02-04,2017-02-13
2528,2531,3,2017-01-10,2017-01-24
2573,4425,3,2017-02-10,2017-02-17
2586,3123,4,2017-01-21,2017-02-03
2600,3924,4,2017-01-26,2017-02-11
2628,2689,3,2017-01-10,2017-01-25
2636,2646,3,2017-01-10,2017-02-23
2655,4411,3,2017-02-10,2017-02-17
2663,2697,3,2017-01-10,2017-01-22
2697,3941,3,2017-01-22,2017-02-03
2769,4329,3,2017-02-20,2017-02-25
2773,4671,3,2017-02-07,2017-02-28
2911,4398,3,2017-02-20,2017-02-25
2912,2968,3,2017-01-10,2017-02-04
2924,2996,4,2017-01-10,2017-02-21
2944,2952,3,2017-01-10,2017-02-15
2959,4052,4,2017-02-07,2017-03-01
3019,3041,3,2017-01-10,2017-01-22
3113,3189,3,2017-01-11,2017-01-17
3249,3332,3,2017-02-06,2017-02-23
3308,3359,3,2017-01-13,2017-02-13
3321,3349,3,2017-01-13,2017-02-06
3321,3380,3,2017-01-13,2017-02-06
3329,3353,3,2017-01-13,2017-02-06
3370,3384,3,2017-01-13,2017-02-06
3401,5170,3,2017-02-17,2017-02-23
3402,3414,5,2017-01-13,2017-01-31
3411,3475,4,2017-01-13,2017-01-29
3428,3468,3,2017-01-13,2017-02-19
3515,3528,3,2017-01-15,2017-02-13
3517,3525,3,2017-01-15,2017-02-13
3518,4417,3,2017-02-10,2017-02-26
3524,4469,3,2017-02-10,2017-02-17
3547,3603,3,2017-02-13,2017-02-21
3552,4493,3,2017-02-10,2017-02-26
3563,3654,3,2017-02-13,2017-02-21
3567,3569,3,2017-01-15,2017-02-13
3655,3661,3,2017-01-15,2017-02-13
3702,3761,3,2017-01-19,2017-02-16
3702,5119,3,2017-02-16,2017-03-01
3754,3767,3,2017-01-19,2017-02-16
3815,4546,3,2017-02-02,2017-02-18
3831,3839,4,2017-01-19,2017-02-18
3851,3881,3,2017-01-19,2017-02-15
3858,4556,4,2017-02-02,2017-02-24
3913,3974,5,2017-01-19,2017-02-10
4002,4025,4,2017-01-20,2017-02-10
4009,4035,4,2017-01-20,2017-02-10
4009,4332,3,2017-01-31,2017-02-10
4014,4036,3,2017-01-20,2017-01-29
4015,4098,3,2017-01-20,2017-01-29
4030,4092,3,2017-01-20,2017-02-20
4066,4346,3,2017-01-31,2017-02-10
4068,4082,3,2017-01-20,2017-01-29
4090,4316,3,2017-01-31,2017-02-10
4215,4219,3,2017-01-22,2017-02-24
4230,4282,3,2017-01-22,2017-02-24
4241,4270,3,2017-01-22,2017-02-24
4249,4297,3,2017-01-22,2017-02-24
4274,4291,3,2017-01-22,2017-02-24
4313,4327,3,2017-01-24,2017-01-29
4319,4338,3,2017-01-24,2017-01-29
4321,4392,3,2017-01-24,2017-02-20
4325,4383,3,2017-01-24,2017-01-29
4327,4360,3,2017-01-24,2017-01-29
4340,4359,5,2017-01-24,2017-02-25
4358,4386,4,2017-01-24,2017-02-13
4417,4429,3,2017-01-29,2017-02-11
4417,4451,4,2017-01-29,2017-02-26
4610,4676,3,2017-02-02,2017-02-19
4615,4671,3,2017-02-02,2017-02-07
4617,4640,3,2017-02-02,2017-02-07
4621,4691,3,2017-02-02,2017-02-19
4643,4695,3,2017-02-02,2017-02-07
4661,4690,3,2017-02-02,2017-02-07
4962,4972,3,2017-02-09,2017-02-28
4977,4998,3,2017-02-09,2017-02-28
5026,5076,3,2017-02-12,2017-02-24
5060,5096,3,2017-02-12,2017-02-24
5115,5126,3,2017-02-12,2017-02-19
5119,5152,4,2017-02-12,2017-03-01
5305,5376,3,2017-02-13,2017-02-27
5335,5352,3,2017-02-13,2017-02-27
5401,5463,3,2017-02-17,2017-03-01
5401,5494,3,2017-02-17,2017-03-01
5412,5451,3,2017-02-17,2017-03-01
5419,5478,3,2017-02-17,2017-03-01
5426,5463,3,2017-02-17,2017-03-01
5435,5478,3,2017-02-17,2017-03-01
5438,5490,3,2017-02-17,2017-03-01
5451,5496,3,2017-02-17,2017-03-01
5483,5491,3,2017-02-17,2017-03-01
56,2051,3,2017-01-10,2017-02-27
86,1273,3,2017-01-22,2017-02-15
86,2869,3,2017-01-22,2017-02-15
86,3015,3,2017-01-22,2017-02-15
167,435,3,2017-01-22,2017-02-15
167,2886,3,2017-01-22,2017-02-15
184,2869,3,2017-01-22,2017-02-15
204,255,3,2017-01-01,2017-01-17
204,2906,3,2017-02-04,2017-02-10
205,296,3,2017-01-01,2017-01-17
205,1300,4,2017-01-21,2017-02-03
210,223,3,2017-01-01,2017-01-17
210,650,3,2017-01-13,2017-01-21
210,3157,3,2017-01-13,2017-01-21
210,3178,3,2017-01-13,2017-01-21
211,3169,5,2017-01-13,2017-02-03
212,248,5,2017-01-01,2017-01-24
218,760,3,2017-01-23,2017-01-31
218,3414,3,2017-01-23,2017-01-31
225,238,3,2017-01-01,2017-02-17
230,293,3,2017-01-01,2017-01-17
231,3120,3,2017-01-13,2017-01-21
244,3471,3,2017-01-23,2017-01-31
248,254,3,2017-01-01,2017-01-17
255,681,5,2017-01-13,2017-02-03
256,266,4,2017-01-01,2017-02-19
266,670,3,2017-01-13,2017-01-24
266,2244,4,2017-02-10,2017-02-28
269,3109,3,2017-01-13,2017-02-01
271,3149,6,2017-01-13,2017-02-14
275,1692,3,2017-01-24,2017-02-03
293,684,6,2017-01-13,2017-02-03
305,797,3,2017-01-04,2017-01-12
307,387,3,2017-01-01,2017-01-08
315,799,3,2017-01-04,2017-01-12
324,749,3,2017-01-04,2017-01-12
324,1053,5,2017-01-03,2017-01-17
346,348,3,2017-01-01,2017-01-08
349,350,3,2017-01-01,2017-01-22
349,370,3,2017-01-01,2017-01-22
350,1211,3,2017-01-05,2017-01-25
352,383,4,2017-01-01,2017-02-17
360,733,4,2017-01-04,2017-01-17
362,709,5,2017-01-04,2017-02-26
364,758,3,2017-01-04,2017-01-12
366,3447,3,2017-01-17,2017-01-29
376,752,3,2017-01-04,2017-01-12
392,1095,5,2017-01-03,2017-01-17
435,1696,3,2017-01-10,2017-02-02
440,1269,4,2017-01-26,2017-02-11
447,1651,3,2017-02-01,2017-02-28
467,3077,3,2017-02-02,2017-02-20
490,2573,4,2017-01-21,2017-02-03
570,574,3,2017-01-02,2017-01-20
601,1297,3,2017-01-24,2017-02-03
607,658,3,2017-01-02,2017-01-17
610,624,5,2017-01-02,2017-01-24
628,2106,3,2017-01-20,2017-01-29
628,3155,5,2017-01-20,2017-02-23
648,694,4,2017-01-02,2017-02-06
648,1923,3,2017-02-06,2017-02-23
652,689,3,2017-01-02,2017-01-17
663,672,3,2017-01-02,2017-01-17
696,3151,3,2017-01-20,2017-01-29
701,747,5,2017-01-02,2017-01-12
705,1002,3,2017-01-04,2017-01-12
709,733,6,2017-01-02,2017-01-17
710,732,3,2017-01-02,2017-01-08
713,745,3,2017-01-02,2017-01-08
714,775,3,2017-01-02,2017-01-08
716,1038,3,2017-01-04,2017-01-12
717,790,3,2017-01-02,2017-01-08
719,1023,3,2017-01-04,2017-01-12
720,723,3,2017-01-02,2017-01-08
730,768,7,2017-01-02,2017-02-26
733,752,8,2017-01-02,2017-01-29
741,776,3,2017-01-02,2017-01-08
758,764,5,2017-01-02,2017-01-12
758,1031,3,2017-01-04,2017-01-12
759,3444,3,2017-01-17,2017-01-29
762,1026,3,2017-01-04,2017-01-12
763,1007,3,2017-01-04,2017-01-12
768,1095,4,2017-01-04,2017-01-17
778,3779,3,2017-02-17,2017-02-27
780,800,3,2017-01-02,2017-01-08
795,1007,3,2017-01-04,2017-01-12
795,1053,3,2017-01-04,2017-01-12
796,1003,3,2017-01-08,2017-02-19
805,849,4,2017-01-02,2017-02-16
806,848,3,2017-01-02,2017-01-27
832,862,4,2017-01-02,2017-02-16
843,876,3,2017-01-02,2017-01-27
844,3719,3,2017-01-27,2017-02-19
849,850,4,2017-01-02,2017-02-16
867,881,3,2017-01-02,2017-01-27
867,3707,3,2017-01-27,2017-02-22
891,897,4,2017-01-02,2017-02-17
901,1323,4,2017-01-25,2017-02-10
905,951,3,2017-01-02,2017-02-04
905,1351,5,2017-01-25,2017-02-25
907,951,3,2017-01-02,2017-02-04
912,1358,4,2017-02-13,2017-02-23
912,2222,4,2017-02-13,2017-02-23
928,1394,4,2017-01-25,2017-02-10
928,1482,5,2017-02-04,2017-03-01
933,940,3,2017-01-02,2017-02-04
940,1315,5,2017-01-25,2017-02-25
957,980,3,2017-01-02,2017-02-15
970,991,3,2017-01-02,2017-01-25
977,2985,3,2017-02-13,2017-02-21
993,2988,5,2017-01-25,2017-02-25
994,4090,3,2017-02-07,2017-02-26
1008,1010,3,2017-01-02,2017-01-22
1010,1060,3,2017-01-02,2017-01-22
1027,1524,3,2017-02-15,2017-02-23
1028,1398,3,2017-02-15,2017-02-26
1038,1044,5,2017-01-02,2017-01-12
1048,1071,3,2017-01-02,2017-01-08
1050,1064,3,2017-01-02,2017-01-08
1053,2183,3,2017-01-23,2017-01-31
1056,3411,5,2017-01-17,2017-02-23
1062,3184,3,2017-01-21,2017-02-02
1092,3932,3,2017-01-22,2017-02-23
1108,4200,3,2017-02-05,2017-02-18
1240,1259,3,2017-01-03,2017-01-10
1252,1290,4,2017-01-03,2017-02-23
1270,1286,3,2017-01-03,2017-01-10
1288,4046,3,2017-02-20,2017-02-25
1347,2315,3,2017-02-13,2017-02-21
1387,3681,3,2017-02-13,2017-02-21
1456,1823,3,2017-01-20,2017-02-13
1481,2705,3,2017-01-20,2017-02-27
1503,2278,3,2017-02-10,2017-02-19
1534,1579,3,2017-01-07,2017-02-23
1569,1587,5,2017-01-07,2017-02-03
1569,3955,4,2017-01-22,2017-02-28
1656,1686,3,2017-01-07,2017-01-22
1662,2830,3,2017-01-22,2017-01-30
1766,1790,3,2017-01-08,2017-02-25
1883,1884,3,2017-01-08,2017-02-07
1891,1893,3,2017-01-08,2017-02-07
1903,1940,3,2017-01-08,2017-01-14
1903,1958,3,2017-01-08,2017-01-14
1906,1990,3,2017-01-08,2017-01-14
1907,1987,3,2017-01-08,2017-01-14
1909,1986,3,2017-01-08,2017-01-14
1911,3206,3,2017-02-06,2017-02-26
1914,1928,3,2017-01-08,2017-01-14
1918,4400,3,2017-02-06,2017-02-27
1924,1928,3,2017-01-08,2017-01-14
1939,1990,3,2017-01-08,2017-01-14
1941,1984,3,2017-01-08,2017-01-14
1942,3119,3,2017-02-06,2017-02-26
1944,1984,3,2017-01-08,2017-01-14
1952,1977,3,2017-01-08,2017-01-14
1954,1956,3,2017-01-08,2017-01-14
1963,1996,3,2017-01-08,2017-01-14
1970,2145,3,2017-02-06,2017-02-27
1970,4082,3,2017-02-06,2017-02-27
1972,1980,3,2017-01-08,2017-01-14
1973,1982,3,2017-01-08,2017-01-14
1976,1988,3,2017-01-08,2017-01-14
1986,1998,3,2017-01-08,2017-01-14
1993,2000,3,2017-01-08,2017-01-14
1993,3309,3,2017-02-06,2017-02-23
2072,2075,4,2017-01-09,2017-02-13
2111,2187,4,2017-01-09,2017-01-17
2114,2158,4,2017-01-09,2017-01-17
2115,2145,4,2017-01-09,2017-01-17
2119,2129,4,2017-01-09,2017-01-17
2131,2179,4,2017-01-09,2017-01-17
2137,2154,4,2017-01-09,2017-01-17
2141,2168,4,2017-01-09,2017-01-17
2145,2168,4,2017-01-09,2017-01-17
2153,3475,3,2017-01-23,2017-01-31
2156,2157,3,2017-01-09,2017-01-25
2164,2166,3,2017-01-09,2017-01-25
2165,2179,4,2017-01-09,2017-01-17
2169,2182,4,2017-01-09,2017-01-17
2171,2198,3,2017-01-09,2017-01-25
2201,2286,3,2017-01-09,2017-01-22
2205,2240,5,2017-01-09,2017-02-11
2205,3565,3,2017-01-22,2017-02-11
2209,2231,4,2017-01-09,2017-02-27
2209,2252,3,2017-01-09,2017-01-22
2209,2258,3,2017-01-09,2017-01-22
2218,2240,3,2017-01-09,2017-01-22
2220,2228,3,2017-01-09,2017-01-22
2228,2280,3,2017-01-09,2017-01-22
2230,2299,3,2017-01-09,2017-01-22
2232,2257,3,2017-01-09,2017-01-22
2234,2283,3,2017-01-09,2017-01-22
2239,2282,3,2017-01-09,2017-01-28
2242,3553,4,2017-01-22,2017-02-19
2252,2275,3,2017-01-09,2017-01-22
2252,4420,3,2017-02-10,2017-02-26
2255,2315,3,2017-02-13,2017-02-21
2256,2294,3,2017-01-09,2017-01-22
2261,2266,3,2017-01-09,2017-01-28
2271,2281,4,2017-01-09,2017-02-13
2272,2273,3,2017-01-09,2017-01-28
2273,3624,3,2017-02-13,2017-02-21
2275,2280,3,2017-01-09,2017-01-22
2298,2674,3,2017-02-10,2017-02-17
2298,3548,4,2017-01-22,2017-02-17
2315,2427,4,2017-01-29,2017-02-21
2334,3675,4,2017-01-29,2017-02-21
2335,3635,5,2017-01-29,2017-02-23
2404,2405,3,2017-01-09,2017-01-29
2405,2413,3,2017-01-09,2017-01-29
2405,2450,3,2017-01-09,2017-01-29
2407,2417,3,2017-01-09,2017-01-29
2425,2492,4,2017-01-09,2017-02-13
2442,2495,3,2017-01-09,2017-02-23
2451,2460,3,2017-01-09,2017-01-29
2458,2963,3,2017-02-13,2017-02-21
2464,2484,4,2017-01-09,2017-02-13
2466,2479,3,2017-01-09,2017-02-23
2510,2528,3,2017-01-10,2017-01-24
2518,2592,3,2017-01-10,2017-02-17
2531,2563,5,2017-01-10,2017-02-03
2536,2596,3,2017-01-10,2017-01-24
2552,3132,3,2017-01-21,2017-02-26
2601,2607,3,2017-01-10,2017-02-23
2608,2633,3,2017-01-10,2017-02-28
2611,2695,3,2017-01-10,2017-02-23
2668,3988,3,2017-01-22,2017-02-23
2717,4013,4,2017-02-07,2017-03-01
2743,4376,3,2017-02-20,2017-02-25
2773,4609,3,2017-02-07,2017-02-28
2789,4053,4,2017-02-07,2017-03-01
2867,3046,3,2017-01-22,2017-02-04
2867,4339,4,2017-02-07,2017-03-01
2910,3554,3,2017-02-13,2017-02-21
2930,2974,3,2017-01-10,2017-02-15
2934,2993,3,2017-01-10,2017-02-15
2937,2975,3,2017-01-10,2017-02-15
2941,4009,4,2017-02-07,2017-03-01
3108,3118,3,2017-01-11,2017-01-17
3116,3141,5,2017-01-11,2017-01-24
3136,3148,3,2017-01-11,2017-01-17
3136,3170,3,2017-01-11,2017-01-17
3146,3184,3,2017-01-11,2017-01-17
3151,3182,5,2017-01-11,2017-01-31
3161,3309,3,2017-02-06,2017-02-23
3209,3399,3,2017-02-06,2017-02-23
3225,4319,3,2017-02-06,2017-02-27
3279,3332,3,2017-02-06,2017-02-23
3308,3333,3,2017-01-13,2017-02-13
3380,3385,3,2017-01-13,2017-02-06
3380,4317,3,2017-02-06,2017-02-23
3410,3444,5,2017-01-13,2017-01-31
3413,3483,5,2017-01-13,2017-01-31
3461,3477,5,2017-01-13,2017-01-31
3482,5148,3,2017-02-17,2017-02-27
3502,3671,3,2017-02-13,2017-02-21
3512,3515,3,2017-01-15,2017-02-13
3512,3525,3,2017-01-15,2017-02-13
3520,3560,3,2017-01-15,2017-02-13
3524,3600,5,2017-01-15,2017-02-17
3525,3545,3,2017-01-15,2017-02-13
3540,3547,5,2017-01-15,2017-02-21
3582,3600,4,2017-01-15,2017-02-11
3611,3694,3,2017-01-15,2017-02-13
3802,3818,3,2017-01-19,2017-02-15
4002,4037,4,2017-01-20,2017-02-10
4015,4089,3,2017-01-20,2017-01-29
4017,4044,6,2017-01-20,2017-03-01
4019,4329,3,2017-01-31,2017-02-23
4025,4066,6,2017-01-20,2017-03-01
4029,4063,5,2017-01-20,2017-02-26
4038,4400,5,2017-01-28,2017-02-27
4049,4089,3,2017-01-20,2017-01-29
4083,4332,3,2017-01-31,2017-02-10
4092,4340,4,2017-01-31,2017-02-25
4201,4281,3,2017-01-22,2017-02-24
4203,4294,3,2017-01-22,2017-02-24
4219,4237,3,2017-01-22,2017-02-24
4249,4261,3,2017-01-22,2017-02-24
4311,4325,3,2017-01-24,2017-01-29
4331,4396,3,2017-01-24,2017-02-20
4343,4378,3,2017-01-24,2017-01-29
4362,4371,5,2017-01-24,2017-02-26
4368,4372,3,2017-01-24,2017-01-29
4411,4464,3,2017-01-29,2017-02-11
4469,4491,4,2017-01-29,2017-02-17
4484,4493,4,2017-01-29,2017-02-26
4605,4693,3,2017-02-02,2017-02-19
4609,4680,3,2017-02-02,2017-02-07
4612,4636,3,2017-02-02,2017-02-26
4614,4657,3,2017-02-02,2017-02-07
4630,4668,4,2017-02-02,2017-02-27
4633,4657,4,2017-02-02,2017-02-13
4903,4979,3,2017-02-09,2017-02-28
5010,5026,3,2017-02-12,2017-02-24
5143,5156,3,2017-02-12,2017-02-22
5188,5193,3,2017-02-12,2017-02-19
5305,5366,3,2017-02-13,2017-02-27
5335,5355,3,2017-02-13,2017-02-27
5368,5383,3,2017-02-13,2017-02-27
5402,5436,3,2017-02-17,2017-03-01
5416,5443,3,2017-02-17,2017-03-01
5420,5468,3,2017-02-17,2017-03-01
5426,5464,3,2017-02-17,2017-03-01
5429,5481,3,2017-02-17,2017-03-01
5432,5484,3,2017-02-17,2017-03-01
5446,5467,3,2017-02-17,2017-03-01
5456,5477,3,2017-02-17,2017-03-01
5459,5481,3,2017-02-17,2017-03-01
5463,5481,3,2017-02-17,2017-03-01
5483,5484,3,2017-02-17,2017-03-01
5499,5500,3,2017-02-17,2017-03-01
211,624,3,2017-01-13,2017-01-24
211,2252,3,2017-02-10,2017-02-26
211,3180,5,2017-01-13,2017-02-03
212,606,4,2017-01-13,2017-01-24
224,287,3,2017-01-01,2017-02-19
247,740,3,2017-01-23,2017-01-31
247,2175,4,2017-01-20,2017-01-31
255,269,3,2017-01-01,2017-01-17
259,300,3,2017-01-01,2017-02-26
260,633,3,2017-01-25,2017-02-10
281,3198,4,2017-01-20,2017-01-31
284,2116,3,2017-01-15,2017-02-13
308,764,3,2017-01-04,2017-01-12
309,730,3,2017-01-04,2017-01-12
313,5148,3,2017-02-17,2017-02-27
315,774,3,2017-01-04,2017-01-12
316,713,3,2017-01-08,2017-02-10
318,359,3,2017-01-01,2017-01-22
318,400,3,2017-01-01,2017-01-22
328,763,4,2017-01-04,2017-01-17
330,746,3,2017-01-04,2017-01-12
334,707,3,2017-01-04,2017-01-12
347,361,3,2017-01-01,2017-01-08
347,383,3,2017-01-01,2017-01-08
366,729,3,2017-01-04,2017-01-12
368,679,3,2017-01-23,2017-01-31
368,751,7,2017-01-04,2017-01-31
369,2681,4,2017-01-13,2017-02-03
374,791,4,2017-01-04,2017-01-17
374,3475,3,2017-01-17,2017-01-29
376,755,3,2017-01-04,2017-01-12
391,459,3,2017-01-10,2017-01-24
392,739,4,2017-01-04,2017-01-17
392,1073,4,2017-01-03,2017-01-12
414,3087,3,2017-01-22,2017-02-15
427,2600,3,2017-01-24,2017-02-03
508,528,3,2017-01-02,2017-01-20
522,1744,3,2017-02-15,2017-03-01
522,4171,3,2017-02-15,2017-03-01
522,4195,3,2017-02-15,2017-03-01
563,574,4,2017-01-02,2017-02-17
601,1298,3,2017-01-24,2017-02-03
610,665,3,2017-01-02,2017-01-17
610,2545,4,2017-01-21,2017-02-03
610,3178,3,2017-01-13,2017-01-21
626,668,3,2017-01-02,2017-02-15
631,4091,3,2017-02-06,2017-02-27
638,670,3,2017-01-02,2017-01-17
